平台,模型,输入价($/M),输出价($/M),缓存命中($/M),context,output,来源T1,核验日期
openrouter,qwen/qwen3.6-plus,0.000000325,0.00000195,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-9b,0.0000001,0.00000015,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-9b:batch,0.00000017,0.00000025,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-35b-a3b,0.00000025,0.00000125,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-27b,0.000000195,0.00000156,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-122b-a10b,0.00000029,0.0000024,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-flash-02-23,0.000000065,0.00000026,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-plus-02-15,0.00000026,0.00000156,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-397b-a17b,0.00000039,0.00000234,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-max-thinking,0.00000078,0.0000039,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-coder-next,0.00000012,0.0000008,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v3.2,0.000000269,0.0000004,,163840,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-vl-32b-instruct,0.000000104,0.000000416,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-vl-8b-thinking,0.00000018,0.0000021,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-vl-8b-instruct,0.000000117,0.000000455,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-vl-30b-a3b-thinking,0.0000002,0.0000024,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-vl-30b-a3b-instruct,0.00000015,0.0000006,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v3.2-exp,0.00000027,0.00000041,,163840,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-vl-235b-a22b-thinking,0.0000004,0.000004,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-vl-235b-a22b-instruct,0.00000021,0.0000019,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-max,0.00000078,0.0000039,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-coder-plus,0.00000065,0.00000325,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v3.1-terminus,0.00000027,0.000001,,163840,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-coder-flash,0.000000195,0.000000975,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-next-80b-a3b-thinking,0.00000015,0.0000012,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-next-80b-a3b-instruct,0.00000009,0.0000011,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen-plus-2025-07-28,0.00000026,0.00000078,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-30b-a3b-thinking-2507,0.0000002,0.0000024,,81920,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-chat-v3.1,0.00000055,0.00000165,,163840,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-coder-30b-a3b-instruct,0.00000007,0.00000028,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-30b-a3b-instruct-2507,0.00000004815,0.00000019305,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-235b-a22b-thinking-2507,0.00000023,0.0000023,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-coder,0.0000003,0.000001,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-235b-a22b-2507,0.0000000875,0.00000035,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-r1-0528,0.0000005,0.00000215,,163840,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-30b-a3b,0.00000012,0.0000005,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-8b,0.000000117,0.000000455,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-14b,0.00000012,0.00000024,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-32b,0.00000008,0.00000028,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3-235b-a22b,0.000000455,0.00000182,,131072,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-chat-v3-0324,0.00000025,0.000001,,163840,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen2.5-vl-72b-instruct,0.00000025,0.00000075,,128000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen-plus,0.00000026,0.00000078,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-r1-distill-llama-70b,0.0000008,0.0000008,,8192,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-r1,0.0000007,0.0000025,,64000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-chat,0.0000002574,0.0000010287,,163840,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen-2.5-coder-32b-instruct,0.00000066,0.000001,,32768,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen-2.5-7b-instruct,0.0000001,0.0000002,,32768,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen-2.5-72b-instruct,0.00000036,0.0000004,,32768,,https://openrouter.ai/api/v1/models,2026-08-30
